Food,Type,GI,Sugar_g,Iron_mg,Sodium_mg,Cholesterol_mg,Fiber_g,Fat_g,Protein_g,Calories,Age,Label,Disease
Orange,Veg,79,0.7,9.1,343,71,1.9,24.3,0.2,194,51,Avoid,Diabetes
Fruit Juice,Veg,84,15.6,4.6,440,52,11.2,21.7,10.5,337,41,Avoid,Cholesterol
Butter,Veg,69,15.3,5.1,341,124,6.3,21.7,0.9,515,33,Recommended,Asthma
Tofu,Veg,56,1.5,5.6,214,133,6.7,4.5,20.6,494,42,Recommended,Anemia
Dark Chocolate,Veg,55,16.0,3.6,127,113,4.3,16.7,17.2,461,29,Recommended,Renal Stone
Green Tea,Veg,83,1.7,5.6,480,105,8.1,23.5,11.5,261,41,Recommended,Tonsillitis
Almonds,Veg,81,19.7,0.4,210,114,11.5,23.5,11.7,223,18,Recommended,Asthma
Oats,Veg,43,5.8,10.0,298,11,9.7,12.7,1.7,51,21,Avoid,Hypertension
Butter,Veg,76,16.3,6.1,199,31,1.1,3.4,17.2,143,70,Recommended,Anemia
Burger,Veg,48,19.1,0.9,78,134,10.0,9.3,11.9,174,49,Avoid,Diabetes
Yogurt,Veg,85,6.2,8.2,330,145,9.8,25.0,16.4,70,55,Avoid,Hypertension
Spinach,Veg,42,6.7,0.3,186,30,0.8,13.5,11.0,433,71,Recommended,Anemia
Cheese,Veg,20,10.1,1.4,22,94,3.9,1.6,24.1,273,72,Recommended,Tonsillitis
Red Meat,Non-Veg,51,7.1,0.1,476,112,4.7,20.4,8.0,209,54,Recommended,Asthma
Honey,Veg,29,5.5,1.1,481,67,12.0,23.9,10.9,398,72,Avoid,Hypertension
Coffee,Veg,32,17.7,9.9,241,3,3.1,23.0,23.5,353,40,Recommended,Renal Stone
Broccoli,Veg,42,3.5,7.4,181,9,10.4,2.0,17.1,332,51,Recommended,Bronchitis
Milk,Veg,23,1.0,3.0,70,25,7.9,19.2,6.0,221,49,Recommended,Bronchitis
Green Tea,Veg,70,5.1,6.2,303,102,5.9,12.3,2.6,387,80,Avoid,Obesity
Apple,Veg,33,13.6,6.8,303,115,1.8,5.7,7.1,555,80,Recommended,Asthma
Tomato,Veg,48,10.6,6.5,101,50,7.4,8.3,14.0,338,20,Avoid,Cholesterol
Tea,Veg,30,9.7,6.3,27,95,9.0,2.0,5.8,550,68,Recommended,Diabetes
Fish,Non-Veg,41,7.5,8.2,53,81,6.1,5.5,4.4,265,10,Recommended,Tonsillitis
Beetroot,Veg,81,2.9,3.0,327,4,2.6,23.6,3.3,379,31,Avoid,Diabetes
Butter,Veg,78,8.6,9.4,104,52,3.7,14.9,14.0,387,22,Avoid,Diabetes
Cabbage,Veg,70,3.4,0.4,153,17,0.1,10.3,18.8,486,54,Recommended,Hypertension
Sugar,Veg,72,7.2,9.5,494,20,7.3,20.8,3.4,516,13,Avoid,Hypertension
Orange,Veg,72,17.4,3.9,33,88,3.2,0.5,14.3,188,76,Recommended,Anemia
Garlic,Veg,68,15.0,6.0,339,35,11.5,14.5,15.0,368,59,Avoid,Diabetes
